stop_id,stop_name,stop_lat,stop_lon
2051,E 4 AV & E 15 ST,25.835439,-80.273866
2052,E 4 AV & E 13 ST,25.833625,-80.273795
2054,E 4 AV & E 9 ST,25.830347,-80.273667
2055,E 4 AV & E 7 ST,25.828187,-80.273584
2057,E 4 AV & E 4 ST,25.825208,-80.273494
388,HIALEAH DR & E 4 AV,25.822833,-80.273624
9464,SE 4 AV & SE 3 ST (S/N),25.820281,-80.273285
9873,SE 4 AV & E OKEECHOBEE RD,25.81769,-80.273176
remix_1fce78b7-d247-47f4-af93-fef2ee4cc1bd,Untitled Stop,25.8155718265035,-80.2688292012164
1996,SE 8 AV & SE 8 PL,25.814832,-80.264905
1998,SE 8 AV & OKEECHOBEE RD,25.811394,-80.264786
301,NW 42 AV & 36 ST,25.80762,-80.26465
4964,NW 42 AV & NW 28 ST,25.801376,-80.264228
10493,AIRPORT STATION,25.798116,-80.258748
remix_dca11295-e7db-4cd3-911d-562eb897f74e,Untitled Stop,25.7953453972948,-80.2559145295786
7477,NW 37 AV & NW 17 ST,25.790266,-80.256129
7479,NW 37 AV & NW 14 ST,25.786604,-80.256035
7481,NW 37 AV & NW 11 ST,25.78227,-80.255887
1002,NW 37 AV & 7 ST,25.779427,-80.255774
7483,NW 37 AV & NW 4 TE,25.776679,-80.255731
7484,NW 37 AV & NW 2 ST,25.7737,-80.255645
303,SW 37 AV & W FLAGLER ST,25.771256,-80.255537
1460,SW 37 AV & FONSECA AV,25.76855,-80.255421
1462,SW 37 AV & SW 8 ST,25.764345,-80.255217
1463,SW 37 AV & SANTILLANE AV,25.761796,-80.25513
1465,SW 37 AV & MENORES AV,25.757944,-80.255013
1466,SW 37 AV & ALHAMBRA CR,25.755079,-80.254869
1468,SW 37 AV & GIRALDA AV,25.751307,-80.25474
304,SW 37 AV & CORAL WAY,25.749457,-80.254667
1469,SW 37 AV & SEVILLA AV,25.746708,-80.254549
1471,SW 37 AV & COCONUT GROVE DR,25.743233,-80.25444
7486,SW 37 AV & SW 28 ST,25.739229,-80.25428
7487,SW 37 AV & SW 29 ST,25.736758,-80.254172
166,DOUGLAS ROAD METRORAIL STATION,25.732676,-80.254707
remix_3c7ad700-b869-4464-a139-b6359db2e613,Untitled Stop,25.746875939779,-80.2542291166923
7526,SW 37 AV & SW 17 ST,25.755501,-80.254662
7528,SW 37 AV & SW 14 ST,25.758704,-80.254786
7530,SW 37 AV & SW 9 TE,25.763143,-80.254951
7531,SW 37 AV & SW 8 ST,25.765026,-80.255041
312,SW 37 AV & W FLAGLER ST,25.771321,-80.255372
remix-4464143,Untitled Stop,25.77361,-80.25552
7535,NW 37 AV & NW 4 ST,25.776354,-80.255486
1005,NW 37 AV & 7 ST,25.779475,-80.25557
7537,NW 37 AV & NW 11 ST,25.782335,-80.255665
remix_e9d24670-208a-47eb-b5e7-89983238a998,Untitled Stop,25.7871287884429,-80.2558271541081
7541,NW 37 AV & NW 17 ST,25.789941,-80.255897
5260,NW 21 ST & NW 37 AV,25.79512,-80.25682
353,OKEECHOBEE RD & LE JEUNE RD,25.80949,-80.264182
9872,SE 8 AV & SE 11 PL,25.812677,-80.264638
1929,SE 8 AV & SE 8 ST,25.815559,-80.264772
399,HIALEAH DR & E 4 AV,25.823005,-80.273611
2001,E 4 AV & E 7 ST,25.828175,-80.27343
2003,E 4 AV & E 11 ST,25.831869,-80.273575
2004,E 4 AV & E 13 ST,25.834046,-80.273636
2006,E 4 AV & E 17 ST,25.837696,-80.273754
2329,E 21 ST & E 4 AV,25.841167,-80.274645
9491,HIALEAH STATION RAIL NORTHBOUND,25.841241,-80.279041
2096,PALM AV & E 22 ST,25.842091,-80.282032
2099,PALM AV & W 29 ST,25.848159,-80.282255
2100,PALM AV & E 32 ST,25.850908,-80.282368
2102,PALM AV & E 36 ST,25.855066,-80.28251
2108,PALM AV & # 4735,25.864791,-80.282873
316,PALM AV & E 49 ST,25.867277,-80.282971
2110,PALM AV & # 5385,25.871622,-80.283124
remix_05bcab33-7dfe-48d1-971f-c52e64a4cf18,Untitled Stop,25.8745451970237,-80.2830981981566
2115,PALM AV & E 64 ST,25.880242,-80.283424
2430,W 65 ST & W 2 AV,25.881442,-80.286879
2116,W 2 CT & # 6595,25.883499,-80.2893
8308,NW 60 AV & NW 142 ST,25.902751,-80.298176
8309,NW 60 AV & APPROX # 14401,25.906108,-80.298581
486,NW 60 AV & MIAMI LAKES DR,25.909904,-80.299249
5853,NW 186 ST & NW 62 AV,25.939703,-80.298308
3710,OLD CUTLER RD AT OLD CUTLER TOWN CTR,25.5779,-80.337432
3633,CARIBBEAN BD & FRANJO RD,25.586456,-80.343048
3635,CARIBBEAN BD & CUTLER RIDGE DR,25.582204,-80.345689
10576,CARIBBEAN BLVD & MARLIN ROAD,25.580541,-80.347379
10577,CARIBBEAN BLVD & GULFSTREAM RD,25.579422,-80.349523
3639,CARIBBEAN BD & CORAL SEA RD,25.577964,-80.352045
3641,CARIBBEAN BD & ANCHOR RD,25.576367,-80.358158
3643,CARIBBEAN BD & SW 103 AV,25.576335,-80.361287
3122,SW 107 AV SERVICE RD & CARIBBEAN BD,25.575869,-80.365073
9999995,SW 211 ST & SOUTHLAND MALL,25.571929,-80.366647
3671,SW 211 ST & OP # 10890,25.571376,-80.368857
3672,SW 211 ST & SW 112 AV,25.571304,-80.373736
10578,SW 211 ST & S DIXIE HWY,25.571394,-80.375111
3813,BUSWAY & SW 112 AV,25.575762,-80.372924
280,US 1 & CARIBBEAN BLVD,25.579133,-80.368802
3025,US 1 & BELVIEW DR,25.585714,-80.362568
3026,US 1 & # 19407,25.587349,-80.360982
3027,US 1 & MARLIN RD,25.588606,-80.359758
3028,US 1 & # 19101,25.591012,-80.357835
3029,US 1 & BROAD CHANNEL DR,25.592624,-80.356836
10498,SW 184 ST & US 1,25.598525,-80.353805
11201,SW 184 ST & 97 AV,25.598694,-80.347904
10504,SW 184 ST & SW 87 AV (E/N),25.599097,-80.332159
3033,SW 87 AV & CARIBBEAN BD.,25.593315,-80.332073
3034,SW 87 AV & SW 190 ST,25.590497,-80.332018
